size	disorder	algorithm	ops_avg	time_ms_avg
1	0.0	adaptive	0	7
1	0.0	simple	0	7
1	0.0	medium	0	7
1	0.0	complex	0	7
1	0.05	adaptive	0	7
1	0.05	simple	0	7
1	0.05	medium	0	7
1	0.05	complex	0	7
1	0.1	adaptive	0	7
1	0.1	simple	0	7
1	0.1	medium	0	7
1	0.1	complex	0	7
1	0.15	adaptive	0	7
1	0.15	simple	0	7
1	0.15	medium	0	7
1	0.15	complex	0	7
1	0.2	adaptive	0	6
1	0.2	simple	0	7
1	0.2	medium	0	7
1	0.2	complex	0	7
1	0.25	adaptive	0	7
1	0.25	simple	0	7
1	0.25	medium	0	7
1	0.25	complex	0	7
1	0.3	adaptive	0	7
1	0.3	simple	0	7
1	0.3	medium	0	7
1	0.3	complex	0	7
1	0.35	adaptive	0	7
1	0.35	simple	0	7
1	0.35	medium	0	7
1	0.35	complex	0	7
1	0.4	adaptive	0	7
1	0.4	simple	0	6
1	0.4	medium	0	6
1	0.4	complex	0	7
1	0.45	adaptive	0	7
1	0.45	simple	0	7
1	0.45	medium	0	7
1	0.45	complex	0	7
1	0.5	adaptive	0	7
1	0.5	simple	0	6
1	0.5	medium	0	7
1	0.5	complex	0	7
1	0.55	adaptive	0	7
1	0.55	simple	0	7
1	0.55	medium	0	7
1	0.55	complex	0	6
1	0.6	adaptive	0	7
1	0.6	simple	0	7
1	0.6	medium	0	7
1	0.6	complex	0	7
1	0.65	adaptive	0	6
1	0.65	simple	0	7
1	0.65	medium	0	7
1	0.65	complex	0	7
1	0.7	adaptive	0	7
1	0.7	simple	0	7
1	0.7	medium	0	7
1	0.7	complex	0	7
1	0.75	adaptive	0	7
1	0.75	simple	0	6
1	0.75	medium	0	6
1	0.75	complex	0	7
1	0.8	adaptive	0	7
1	0.8	simple	0	7
1	0.8	medium	0	7
1	0.8	complex	0	7
1	0.85	adaptive	0	7
1	0.85	simple	0	7
1	0.85	medium	0	7
1	0.85	complex	0	7
1	0.9	adaptive	0	6
1	0.9	simple	0	6
1	0.9	medium	0	7
1	0.9	complex	0	7
1	0.95	adaptive	0	7
1	0.95	simple	0	7
1	0.95	medium	0	6
1	0.95	complex	0	7
1	1.0	adaptive	0	7
1	1.0	simple	0	7
1	1.0	medium	0	7
1	1.0	complex	0	7
5	0.0	adaptive	0	7
5	0.0	simple	0	7
5	0.0	medium	0	7
5	0.0	complex	0	8
5	0.05	adaptive	6	7
5	0.05	simple	5	7
5	0.05	medium	19	7
5	0.05	complex	25	7
5	0.1	adaptive	5	7
5	0.1	simple	5	7
5	0.1	medium	19	6
5	0.1	complex	25	7
5	0.15	adaptive	7	7
5	0.15	simple	6	7
5	0.15	medium	19	7
5	0.15	complex	25	7
5	0.2	adaptive	6	7
5	0.2	simple	6	7
5	0.2	medium	19	7
5	0.2	complex	25	7
5	0.25	adaptive	7	7
5	0.25	simple	7	7
5	0.25	medium	19	7
5	0.25	complex	25	7
5	0.3	adaptive	7	7
5	0.3	simple	8	6
5	0.3	medium	19	7
5	0.3	complex	25	7
5	0.35	adaptive	8	7
5	0.35	simple	7	6
5	0.35	medium	18	7
5	0.35	complex	25	6
5	0.4	adaptive	7	7
5	0.4	simple	7	7
5	0.4	medium	19	7
5	0.4	complex	25	7
5	0.45	adaptive	8	7
5	0.45	simple	8	7
5	0.45	medium	19	7
5	0.45	complex	25	7
5	0.5	adaptive	6	7
5	0.5	simple	7	7
5	0.5	medium	18	7
5	0.5	complex	25	7
5	0.55	adaptive	7	7
5	0.55	simple	7	7
5	0.55	medium	18	7
5	0.55	complex	25	7
5	0.6	adaptive	7	7
5	0.6	simple	8	7
5	0.6	medium	19	7
5	0.6	complex	25	7
5	0.65	adaptive	6	7
5	0.65	simple	8	7
5	0.65	medium	19	7
5	0.65	complex	25	6
5	0.7	adaptive	7	7
5	0.7	simple	7	7
5	0.7	medium	19	7
5	0.7	complex	25	7
5	0.75	adaptive	8	7
5	0.75	simple	8	7
5	0.75	medium	20	7
5	0.75	complex	25	9
5	0.8	adaptive	7	7
5	0.8	simple	7	7
5	0.8	medium	18	7
5	0.8	complex	25	7
5	0.85	adaptive	7	7
5	0.85	simple	7	7
5	0.85	medium	19	7
5	0.85	complex	25	7
5	0.9	adaptive	7	7
5	0.9	simple	7	7
5	0.9	medium	19	7
5	0.9	complex	25	7
5	0.95	adaptive	8	7
5	0.95	simple	7	7
5	0.95	medium	19	7
5	0.95	complex	25	7
5	1.0	adaptive	7	6
5	1.0	simple	8	7
5	1.0	medium	19	7
5	1.0	complex	25	7
10	0.0	adaptive	0	7
10	0.0	simple	0	7
10	0.0	medium	0	7
10	0.0	complex	0	7
10	0.05	adaptive	14	7
10	0.05	simple	17	7
10	0.05	medium	45	7
10	0.05	complex	65	7
10	0.1	adaptive	20	7
10	0.1	simple	21	7
10	0.1	medium	46	7
10	0.1	complex	65	7
10	0.15	adaptive	22	7
10	0.15	simple	22	7
10	0.15	medium	47	7
10	0.15	complex	65	7
10	0.2	adaptive	25	7
10	0.2	simple	26	7
10	0.2	medium	46	7
10	0.2	complex	65	7
10	0.25	adaptive	25	7
10	0.25	simple	27	7
10	0.25	medium	47	7
10	0.25	complex	65	7
10	0.3	adaptive	29	7
10	0.3	simple	26	8
10	0.3	medium	48	7
10	0.3	complex	65	7
10	0.35	adaptive	28	7
10	0.35	simple	28	7
10	0.35	medium	48	7
10	0.35	complex	65	7
10	0.4	adaptive	29	7
10	0.4	simple	29	7
10	0.4	medium	48	7
10	0.4	complex	65	7
10	0.45	adaptive	28	7
10	0.45	simple	28	7
10	0.45	medium	47	7
10	0.45	complex	65	7
10	0.5	adaptive	23	7
10	0.5	simple	28	7
10	0.5	medium	45	7
10	0.5	complex	65	7
10	0.55	adaptive	21	7
10	0.55	simple	26	7
10	0.55	medium	47	7
10	0.55	complex	65	7
10	0.6	adaptive	27	7
10	0.6	simple	26	7
10	0.6	medium	46	7
10	0.6	complex	65	7
10	0.65	adaptive	25	7
10	0.65	simple	23	7
10	0.65	medium	46	7
10	0.65	complex	65	7
10	0.7	adaptive	27	7
10	0.7	simple	26	7
10	0.7	medium	46	7
10	0.7	complex	65	7
10	0.75	adaptive	25	7
10	0.75	simple	27	7
10	0.75	medium	46	7
10	0.75	complex	65	7
10	0.8	adaptive	26	7
10	0.8	simple	25	7
10	0.8	medium	47	7
10	0.8	complex	65	7
10	0.85	adaptive	25	7
10	0.85	simple	23	7
10	0.85	medium	46	7
10	0.85	complex	65	7
10	0.9	adaptive	25	7
10	0.9	simple	23	7
10	0.9	medium	47	7
10	0.9	complex	65	7
10	0.95	adaptive	22	7
10	0.95	simple	23	7
10	0.95	medium	48	7
10	0.95	complex	65	7
10	1.0	adaptive	22	7
10	1.0	simple	23	7
10	1.0	medium	49	7
10	1.0	complex	65	7
20	0.0	adaptive	0	7
20	0.0	simple	0	7
20	0.0	medium	0	7
20	0.0	complex	0	6
20	0.05	adaptive	50	7
20	0.05	simple	48	7
20	0.05	medium	113	7
20	0.05	complex	160	7
20	0.1	adaptive	59	7
20	0.1	simple	58	7
20	0.1	medium	113	7
20	0.1	complex	160	7
20	0.15	adaptive	67	7
20	0.15	simple	67	7
20	0.15	medium	114	7
20	0.15	complex	160	7
20	0.2	adaptive	72	7
20	0.2	simple	70	7
20	0.2	medium	113	7
20	0.2	complex	160	7
20	0.25	adaptive	76	7
20	0.25	simple	77	7
20	0.25	medium	116	7
20	0.25	complex	160	7
20	0.3	adaptive	81	7
20	0.3	simple	79	9
20	0.3	medium	116	11
20	0.3	complex	160	7
20	0.35	adaptive	87	7
20	0.35	simple	85	7
20	0.35	medium	116	7
20	0.35	complex	160	7
20	0.4	adaptive	85	7
20	0.4	simple	83	7
20	0.4	medium	116	8
20	0.4	complex	160	7
20	0.45	adaptive	87	7
20	0.45	simple	86	7
20	0.45	medium	117	7
20	0.45	complex	160	7
20	0.5	adaptive	81	7
20	0.5	simple	76	7
20	0.5	medium	109	7
20	0.5	complex	160	7
20	0.55	adaptive	71	7
20	0.55	simple	84	9
20	0.55	medium	109	11
20	0.55	complex	160	9
20	0.6	adaptive	81	8
20	0.6	simple	81	7
20	0.6	medium	110	7
20	0.6	complex	160	7
20	0.65	adaptive	78	7
20	0.65	simple	74	8
20	0.65	medium	113	7
20	0.65	complex	160	7
20	0.7	adaptive	75	7
20	0.7	simple	77	7
20	0.7	medium	111	7
20	0.7	complex	160	7
20	0.75	adaptive	70	7
20	0.75	simple	76	7
20	0.75	medium	115	7
20	0.75	complex	160	7
20	0.8	adaptive	70	7
20	0.8	simple	70	7
20	0.8	medium	112	7
20	0.8	complex	160	7
20	0.85	adaptive	66	7
20	0.85	simple	67	7
20	0.85	medium	114	7
20	0.85	complex	160	7
20	0.9	adaptive	60	7
20	0.9	simple	60	7
20	0.9	medium	113	7
20	0.9	complex	160	7
20	0.95	adaptive	55	7
20	0.95	simple	54	7
20	0.95	medium	116	7
20	0.95	complex	160	7
20	1.0	adaptive	52	8
20	1.0	simple	53	11
20	1.0	medium	123	8
20	1.0	complex	160	7
35	0.0	adaptive	0	7
35	0.0	simple	0	7
35	0.0	medium	0	7
35	0.0	complex	0	7
35	0.05	adaptive	106	7
35	0.05	simple	110	7
35	0.05	medium	243	7
35	0.05	complex	335	7
35	0.1	adaptive	133	7
35	0.1	simple	133	7
35	0.1	medium	248	7
35	0.1	complex	335	7
35	0.15	adaptive	148	7
35	0.15	simple	160	7
35	0.15	medium	247	7
35	0.15	complex	335	7
35	0.2	adaptive	166	7
35	0.2	simple	180	7
35	0.2	medium	249	7
35	0.2	complex	335	7
35	0.25	adaptive	193	7
35	0.25	simple	199	7
35	0.25	medium	249	7
35	0.25	complex	335	7
35	0.3	adaptive	192	7
35	0.3	simple	198	7
35	0.3	medium	251	7
35	0.3	complex	335	7
35	0.35	adaptive	198	7
35	0.35	simple	203	7
35	0.35	medium	247	7
35	0.35	complex	335	7
35	0.4	adaptive	199	7
35	0.4	simple	202	7
35	0.4	medium	247	7
35	0.4	complex	335	7
35	0.45	adaptive	199	7
35	0.45	simple	197	7
35	0.45	medium	245	7
35	0.45	complex	335	7
35	0.5	adaptive	178	7
35	0.5	simple	172	7
35	0.5	medium	236	7
35	0.5	complex	335	7
35	0.55	adaptive	180	7
35	0.55	simple	196	7
35	0.55	medium	234	7
35	0.55	complex	335	7
35	0.6	adaptive	201	7
35	0.6	simple	203	7
35	0.6	medium	239	7
35	0.6	complex	335	7
35	0.65	adaptive	185	7
35	0.65	simple	194	7
35	0.65	medium	235	7
35	0.65	complex	335	7
35	0.7	adaptive	200	7
35	0.7	simple	191	7
35	0.7	medium	239	7
35	0.7	complex	335	7
35	0.75	adaptive	184	7
35	0.75	simple	183	7
35	0.75	medium	238	8
35	0.75	complex	335	8
35	0.8	adaptive	171	8
35	0.8	simple	167	8
35	0.8	medium	238	8
35	0.8	complex	335	8
35	0.85	adaptive	140	14
35	0.85	simple	154	11
35	0.85	medium	239	8
35	0.85	complex	335	7
35	0.9	adaptive	131	7
35	0.9	simple	133	7
35	0.9	medium	247	7
35	0.9	complex	335	7
35	0.95	adaptive	111	7
35	0.95	simple	111	7
35	0.95	medium	250	8
35	0.95	complex	335	7
35	1.0	adaptive	97	7
35	1.0	simple	98	7
35	1.0	medium	257	7
35	1.0	complex	335	7
50	0.0	adaptive	0	7
50	0.0	simple	0	7
50	0.0	medium	0	7
50	0.0	complex	0	7
50	0.05	adaptive	173	7
50	0.05	simple	172	7
50	0.05	medium	380	7
50	0.05	complex	467	7
50	0.1	adaptive	241	7
50	0.1	simple	232	7
50	0.1	medium	380	7
50	0.1	complex	467	7
50	0.15	adaptive	273	7
50	0.15	simple	283	7
50	0.15	medium	381	7
50	0.15	complex	467	7
50	0.2	adaptive	297	7
50	0.2	simple	305	8
50	0.2	medium	382	7
50	0.2	complex	467	7
50	0.25	adaptive	343	8
50	0.25	simple	335	7
50	0.25	medium	369	7
50	0.25	complex	467	7
50	0.3	adaptive	373	8
50	0.3	simple	358	8
50	0.3	medium	375	7
50	0.3	complex	467	7
50	0.35	adaptive	360	8
50	0.35	simple	370	8
50	0.35	medium	380	7
50	0.35	complex	467	7
50	0.4	adaptive	368	8
50	0.4	simple	347	7
50	0.4	medium	380	7
50	0.4	complex	467	7
50	0.45	adaptive	335	7
50	0.45	simple	351	8
50	0.45	medium	382	7
50	0.45	complex	467	7
50	0.5	adaptive	320	7
50	0.5	simple	326	7
50	0.5	medium	357	7
50	0.5	complex	467	7
50	0.55	adaptive	342	8
50	0.55	simple	334	7
50	0.55	medium	360	7
50	0.55	complex	467	7
50	0.6	adaptive	365	8
50	0.6	simple	344	8
50	0.6	medium	362	7
50	0.6	complex	467	7
50	0.65	adaptive	321	8
50	0.65	simple	338	7
50	0.65	medium	363	7
50	0.65	complex	467	7
50	0.7	adaptive	339	8
50	0.7	simple	328	7
50	0.7	medium	364	7
50	0.7	complex	467	7
50	0.75	adaptive	312	8
50	0.75	simple	327	7
50	0.75	medium	370	7
50	0.75	complex	467	7
50	0.8	adaptive	314	7
50	0.8	simple	292	7
50	0.8	medium	362	7
50	0.8	complex	467	7
50	0.85	adaptive	262	7
50	0.85	simple	284	7
50	0.85	medium	366	7
50	0.85	complex	467	7
50	0.9	adaptive	218	7
50	0.9	simple	222	7
50	0.9	medium	377	7
50	0.9	complex	467	7
50	0.95	adaptive	180	7
50	0.95	simple	173	7
50	0.95	medium	375	8
50	0.95	complex	467	8
50	1.0	adaptive	142	9
50	1.0	simple	143	8
50	1.0	medium	377	8
50	1.0	complex	467	8
65	0.0	adaptive	0	8
65	0.0	simple	0	7
65	0.0	medium	0	7
65	0.0	complex	0	7
65	0.05	adaptive	254	8
65	0.05	simple	249	8
65	0.05	medium	521	7
65	0.05	complex	717	7
65	0.1	adaptive	341	8
65	0.1	simple	343	8
65	0.1	medium	539	8
65	0.1	complex	717	8
65	0.15	adaptive	422	8
65	0.15	simple	408	8
65	0.15	medium	535	7
65	0.15	complex	717	8
65	0.2	adaptive	465	8
65	0.2	simple	474	8
65	0.2	medium	531	7
65	0.2	complex	717	8
65	0.25	adaptive	528	8
65	0.25	simple	524	8
65	0.25	medium	534	7
65	0.25	complex	717	8
65	0.3	adaptive	534	8
65	0.3	simple	567	8
65	0.3	medium	538	7
65	0.3	complex	717	8
65	0.35	adaptive	576	8
65	0.35	simple	542	8
65	0.35	medium	537	8
65	0.35	complex	717	8
65	0.4	adaptive	603	8
65	0.4	simple	537	8
65	0.4	medium	533	7
65	0.4	complex	717	8
65	0.45	adaptive	570	8
65	0.45	simple	548	8
65	0.45	medium	537	7
65	0.45	complex	717	8
65	0.5	adaptive	470	8
65	0.5	simple	532	8
65	0.5	medium	512	8
65	0.5	complex	717	7
65	0.55	adaptive	507	8
65	0.55	simple	522	8
65	0.55	medium	508	7
65	0.55	complex	717	8
65	0.6	adaptive	540	10
65	0.6	simple	520	8
65	0.6	medium	522	8
65	0.6	complex	717	8
65	0.65	adaptive	507	9
65	0.65	simple	518	8
65	0.65	medium	516	7
65	0.65	complex	717	7
65	0.7	adaptive	539	8
65	0.7	simple	517	8
65	0.7	medium	524	7
65	0.7	complex	717	8
65	0.75	adaptive	504	8
65	0.75	simple	505	8
65	0.75	medium	515	7
65	0.75	complex	717	8
65	0.8	adaptive	451	8
65	0.8	simple	459	8
65	0.8	medium	523	8
65	0.8	complex	717	8
65	0.85	adaptive	371	8
65	0.85	simple	406	9
65	0.85	medium	518	8
65	0.85	complex	717	8
65	0.9	adaptive	336	9
65	0.9	simple	347	8
65	0.9	medium	531	7
65	0.9	complex	717	8
65	0.95	adaptive	256	8
65	0.95	simple	251	9
65	0.95	medium	523	8
65	0.95	complex	717	8
65	1.0	adaptive	187	9
65	1.0	simple	188	10
65	1.0	medium	525	8
65	1.0	complex	717	10
80	0.0	adaptive	0	8
80	0.0	simple	0	8
80	0.0	medium	0	8
80	0.0	complex	0	9
80	0.05	adaptive	346	10
80	0.05	simple	351	11
80	0.05	medium	729	10
80	0.05	complex	880	11
80	0.1	adaptive	477	11
80	0.1	simple	463	13
80	0.1	medium	734	10
80	0.1	complex	880	11
80	0.15	adaptive	585	9
80	0.15	simple	588	9
80	0.15	medium	731	10
80	0.15	complex	880	9
80	0.2	adaptive	689	10
80	0.2	simple	662	10
80	0.2	medium	734	9
80	0.2	complex	880	9
80	0.25	adaptive	744	11
80	0.25	simple	727	10
80	0.25	medium	727	8
80	0.25	complex	880	9
80	0.3	adaptive	810	10
80	0.3	simple	805	10
80	0.3	medium	732	10
80	0.3	complex	880	9
80	0.35	adaptive	795	9
80	0.35	simple	786	9
80	0.35	medium	726	8
80	0.35	complex	880	8
80	0.4	adaptive	796	9
80	0.4	simple	784	9
80	0.4	medium	721	8
80	0.4	complex	880	9
80	0.45	adaptive	755	9
80	0.45	simple	816	9
80	0.45	medium	733	8
80	0.45	complex	880	8
80	0.5	adaptive	676	9
80	0.5	simple	735	9
80	0.5	medium	696	8
80	0.5	complex	880	8
80	0.55	adaptive	754	9
80	0.55	simple	754	9
80	0.55	medium	685	8
80	0.55	complex	880	8
80	0.6	adaptive	742	9
80	0.6	simple	805	9
80	0.6	medium	697	8
80	0.6	complex	880	8
80	0.65	adaptive	814	9
80	0.65	simple	711	9
80	0.65	medium	689	8
80	0.65	complex	880	8
80	0.7	adaptive	781	9
80	0.7	simple	760	9
80	0.7	medium	691	9
80	0.7	complex	880	8
80	0.75	adaptive	702	9
80	0.75	simple	690	9
80	0.75	medium	716	8
80	0.75	complex	880	8
80	0.8	adaptive	652	9
80	0.8	simple	674	9
80	0.8	medium	707	8
80	0.8	complex	880	8
80	0.85	adaptive	548	9
80	0.85	simple	539	9
80	0.85	medium	709	8
80	0.85	complex	880	8
80	0.9	adaptive	469	9
80	0.9	simple	454	9
80	0.9	medium	718	8
80	0.9	complex	880	8
80	0.95	adaptive	340	8
80	0.95	simple	342	9
80	0.95	medium	733	8
80	0.95	complex	880	8
80	1.0	adaptive	232	7
80	1.0	simple	233	8
80	1.0	medium	725	8
80	1.0	complex	880	8
100	0.0	adaptive	0	7
100	0.0	simple	0	7
100	0.0	medium	0	7
100	0.0	complex	0	8
100	0.05	adaptive	472	11
100	0.05	simple	493	10
100	0.05	medium	945	9
100	0.05	complex	1084	15
100	0.1	adaptive	692	11
100	0.1	simple	688	11
100	0.1	medium	944	8
100	0.1	complex	1084	9
100	0.15	adaptive	877	11
100	0.15	simple	849	11
100	0.15	medium	944	9
100	0.15	complex	1084	9
100	0.2	adaptive	1002	11
100	0.2	simple	1013	10
100	0.2	medium	947	8
100	0.2	complex	1084	8
100	0.25	adaptive	1085	11
100	0.25	simple	1077	10
100	0.25	medium	951	8
100	0.25	complex	1084	8
100	0.3	adaptive	1108	11
100	0.3	simple	1149	11
100	0.3	medium	948	10
100	0.3	complex	1084	8
100	0.35	adaptive	1163	11
100	0.35	simple	1132	11
100	0.35	medium	949	8
100	0.35	complex	1084	8
100	0.4	adaptive	1146	11
100	0.4	simple	1126	11
100	0.4	medium	939	8
100	0.4	complex	1084	8
100	0.45	adaptive	1174	11
100	0.45	simple	1159	10
100	0.45	medium	944	8
100	0.45	complex	1084	8
100	0.5	adaptive	1066	10
100	0.5	simple	1033	10
100	0.5	medium	915	8
100	0.5	complex	1084	8
100	0.55	adaptive	1065	11
100	0.55	simple	1128	10
100	0.55	medium	888	8
100	0.55	complex	1084	8
100	0.6	adaptive	1187	11
100	0.6	simple	1098	10
100	0.6	medium	907	8
100	0.6	complex	1084	8
100	0.65	adaptive	1148	11
100	0.65	simple	1118	11
100	0.65	medium	898	8
100	0.65	complex	1084	8
100	0.7	adaptive	1067	10
100	0.7	simple	1113	10
100	0.7	medium	900	8
100	0.7	complex	1084	8
100	0.75	adaptive	1050	11
100	0.75	simple	1123	11
100	0.75	medium	916	8
100	0.75	complex	1084	8
100	0.8	adaptive	989	11
100	0.8	simple	954	10
100	0.8	medium	917	8
100	0.8	complex	1084	8
100	0.85	adaptive	818	10
100	0.85	simple	820	10
100	0.85	medium	930	8
100	0.85	complex	1084	8
100	0.9	adaptive	669	10
100	0.9	simple	656	10
100	0.9	medium	934	8
100	0.9	complex	1084	8
100	0.95	adaptive	475	10
100	0.95	simple	475	10
100	0.95	medium	942	8
100	0.95	complex	1084	8
100	1.0	adaptive	292	7
100	1.0	simple	293	10
100	1.0	medium	911	8
100	1.0	complex	1084	8
150	0.0	adaptive	0	7
150	0.0	simple	0	7
150	0.0	medium	0	7
150	0.0	complex	0	9
150	0.05	adaptive	902	18
150	0.05	simple	902	15
150	0.05	medium	1659	9
150	0.05	complex	1885	9
150	0.1	adaptive	1346	16
150	0.1	simple	1340	15
150	0.1	medium	1680	9
150	0.1	complex	1885	9
150	0.15	adaptive	1732	15
150	0.15	simple	1771	15
150	0.15	medium	1670	9
150	0.15	complex	1885	10
150	0.2	adaptive	1885	10
150	0.2	simple	2029	17
150	0.2	medium	1644	10
150	0.2	complex	1885	10
150	0.25	adaptive	1885	10
150	0.25	simple	2288	16
150	0.25	medium	1653	10
150	0.25	complex	1885	9
150	0.3	adaptive	1885	9
150	0.3	simple	2289	16
150	0.3	medium	1656	9
150	0.3	complex	1885	10
150	0.35	adaptive	1885	9
150	0.35	simple	2425	16
150	0.35	medium	1666	9
150	0.35	complex	1885	9
150	0.4	adaptive	1885	10
150	0.4	simple	2416	17
150	0.4	medium	1652	9
150	0.4	complex	1885	10
150	0.45	adaptive	1885	9
150	0.45	simple	2298	17
150	0.45	medium	1657	10
150	0.45	complex	1885	9
150	0.5	adaptive	1885	10
150	0.5	simple	2145	16
150	0.5	medium	1581	9
150	0.5	complex	1885	9
150	0.55	adaptive	1885	9
150	0.55	simple	2096	16
150	0.55	medium	1572	9
150	0.55	complex	1885	9
150	0.6	adaptive	1885	9
150	0.6	simple	2334	16
150	0.6	medium	1587	10
150	0.6	complex	1885	9
150	0.65	adaptive	1885	9
150	0.65	simple	2274	16
150	0.65	medium	1614	9
150	0.65	complex	1885	10
150	0.7	adaptive	1885	9
150	0.7	simple	2269	16
150	0.7	medium	1620	9
150	0.7	complex	1885	9
150	0.75	adaptive	1885	10
150	0.75	simple	2103	16
150	0.75	medium	1632	9
150	0.75	complex	1885	9
150	0.8	adaptive	2096	16
150	0.8	simple	1966	18
150	0.8	medium	1632	10
150	0.8	complex	1885	10
150	0.85	adaptive	1747	18
150	0.85	simple	1617	16
150	0.85	medium	1626	9
150	0.85	complex	1885	9
150	0.9	adaptive	1316	15
150	0.9	simple	1328	15
150	0.9	medium	1635	9
150	0.9	complex	1885	9
150	0.95	adaptive	889	15
150	0.95	simple	855	15
150	0.95	medium	1639	9
150	0.95	complex	1885	9
150	1.0	adaptive	442	8
150	1.0	simple	443	13
150	1.0	medium	1567	9
150	1.0	complex	1885	9
200	0.0	adaptive	0	8
200	0.0	simple	0	8
200	0.0	medium	0	8
200	0.0	complex	0	7
200	0.05	adaptive	1456	22
200	0.05	simple	1450	24
200	0.05	medium	2509	11
200	0.05	complex	2468	10
200	0.1	adaptive	2254	22
200	0.1	simple	2247	23
200	0.1	medium	2465	12
200	0.1	complex	2468	10
200	0.15	adaptive	2468	11
200	0.15	simple	2918	25
200	0.15	medium	2455	12
200	0.15	complex	2468	10
200	0.2	adaptive	2468	11
200	0.2	simple	3564	24
200	0.2	medium	2444	11
200	0.2	complex	2468	10
200	0.25	adaptive	2468	10
200	0.25	simple	3808	24
200	0.25	medium	2457	11
200	0.25	complex	2468	10
200	0.3	adaptive	2468	10
200	0.3	simple	3913	25
200	0.3	medium	2450	10
200	0.3	complex	2468	10
200	0.35	adaptive	2468	10
200	0.35	simple	4090	25
200	0.35	medium	2426	11
200	0.35	complex	2468	10
200	0.4	adaptive	2468	11
